n_lags,loss,lr,trend_reg,seasonality_reg,ar_reg,mse,rmse,mae,mape
1,SmoothL1Loss,1,0.1,0.5,0.1,25.992238066838837,4.804773422935405,2.4937891782743526,2.645460278437435
1,SmoothL1Loss,1,0.1,0.5,10,16.87774459052348,3.872794223447338,2.1234465685477257,2.248938302142002
1,SmoothL1Loss,1,0.1,10,0.1,28.290604179892906,5.013038881759483,2.578294951130391,2.7336115835824897
1,SmoothL1Loss,1,0.1,10,10,14.975729740923525,3.6487334006228513,2.0435119047639345,2.16042634659421
1,SmoothL1Loss,1,10,0.5,0.1,39.51483144122855,5.915193235167652,3.7412247313485136,3.979742051755615
1,SmoothL1Loss,1,10,0.5,10,37.1506267607503,5.73591898186966,3.5704626503533343,3.791997830399501
1,SmoothL1Loss,1,10,10,0.1,36.96141604351358,5.719839971469067,3.5688964828288166,3.7905582251493004
1,SmoothL1Loss,1,10,10,10,44.55596500338518,6.282590825329265,3.884205437880707,4.128716909490604
1,SmoothL1Loss,10,0.1,0.5,0.1,14.717864565696607,3.6146366813635553,2.1255436869165685,2.2482588389290985
1,SmoothL1Loss,10,0.1,0.5,10,0.1448603987689257,0.3415792294696781,0.2959510465424106,0.28516368919203605
1,SmoothL1Loss,10,0.1,10,0.1,0.03342507049502892,0.15256984146484961,0.13233236241989557,0.13022657084033215
1,SmoothL1Loss,10,0.1,10,10,0.03265115471076895,0.1523544451820492,0.12813013308647195,0.14869807054012782
1,SmoothL1Loss,10,10,0.5,0.1,0.17651033750988226,0.38052190996359686,0.3149383196788891,0.357954628860212
1,SmoothL1Loss,10,10,0.5,10,0.24328734005864405,0.4513390949921332,0.37669516982692286,0.42372191672346626
1,SmoothL1Loss,10,10,10,0.1,0.26369709019037074,0.4707824125796773,0.39646582876607867,0.44467805746514255
1,SmoothL1Loss,10,10,10,10,0.3712985827936343,0.5630912148890141,0.4830081550301644,0.536085172361659
1,MSE,0.001,0.1,0.5,0.1,0.4464319843886485,0.624322278036312,0.5662698838316259,0.6162079059272106
1,MSE,0.001,0.1,0.5,10,0.24294979483703014,0.45179843010294934,0.36926259996690786,0.4156000533677315
1,MSE,0.001,0.1,10,0.1,0.25666554328395147,0.46652572170641404,0.3758329316403603,0.421366943056455
1,MSE,0.001,0.1,10,10,0.10011481760656239,0.28059609255142187,0.2310968521007836,0.26709565781576633
1,MSE,0.001,10,0.5,0.1,0.024838317948979637,0.13268231782362588,0.11354690003431704,0.12258364234224563
1,MSE,0.001,10,0.5,10,0.28011707909560296,0.4869182255844678,0.4030024974181692,0.4517280945331703
1,MSE,0.001,10,10,0.1,0.2536878721771732,0.46261947502037126,0.39655790392413576,0.4434390673763081
1,MSE,0.001,10,10,10,0.1470579864865779,0.3453670363966201,0.28425445972825014,0.3249678921291757
1,MSE,0.01,0.1,0.5,0.1,0.5752695320119803,0.740734882833432,0.6713910362808793,0.6715974775869189
1,MSE,0.01,0.1,0.5,10,0.1482742870791777,0.3452554338350927,0.3021519087693306,0.2913945353300306
1,MSE,0.01,0.1,10,0.1,0.34938983202241986,0.5600967872395964,0.4937040844337915,0.489883721055738
1,MSE,0.01,0.1,10,10,0.6083255521108045,0.7631918712396785,0.6952495150491588,0.6960280785030325
1,MSE,0.01,10,0.5,0.1,0.9885914463178008,0.934750718516853,0.7129477983146204,0.740651799072087
1,MSE,0.01,10,0.5,10,0.03825065241135276,0.1641506391340054,0.1457741238469195,0.14197052005497315
1,MSE,0.01,10,10,0.1,0.6303928304438523,0.7820952423320325,0.7054865612468083,0.7175662131737758
1,MSE,0.01,10,10,10,0.39944301891127215,0.6049312929958489,0.5374453645888353,0.5346769757045015
