,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
ALLE,0.47683078241533733,0.48723421002823886,"[ 1.37994500e-03  1.70392530e-03  1.24593353e-06  1.05508269e-03
 -1.40123989e-04  4.86543989e-04]","[ 0.01470426 -0.00143231 -0.00745219  0.00819809 -0.00440612 -0.00220578
  0.00562263 -0.00345123  0.00248544  0.00335866  0.00012561  0.00388792
 -0.00294166  0.00306111 -0.00507705 -0.00088107  0.00273899 -0.00519543
  0.00632047  0.00367255]",-4.538351289911624,0.010691018421027423
AMAT,0.4787653005345713,0.48919058813833766,[-0.00067981  0.0004952  -0.00022994  0.00109824 -0.00021733  0.00088846],"[ 0.01565642 -0.00390436 -0.00485116  0.01091947 -0.00812959 -0.00116847
  0.00627341 -0.00615568  0.00286271  0.00490161 -0.00063975  0.00245401
 -0.00156233  0.00319358 -0.0045247  -0.00126496  0.00477724 -0.00165149
 -0.00068676  0.00524354]",-4.472563421340265,0.011418009135543226
AMCR,-0.8396283416304525,1.7883510864364849,[-0.00233574 -0.00143853 -0.00080258 -0.00139704 -0.00020849 -0.0013159 ],"[ 0.015807   -0.00820791  0.00103138  0.0111335  -0.00806782  0.00358431
  0.00320091 -0.00513354  0.0002357   0.00549709 -0.00435193 -0.00253717
  0.00546872 -0.00164976 -0.00145681  0.0057178  -0.00072153 -0.00351092
  0.00677981  0.00450188]",-4.18313962997627,0.015250551235737219
AMD,1.1098444666479648,-0.1473761572695476,[ 0.00254288  0.00051796  0.00027356  0.00040174 -0.0002807  -0.00059476],"[ 0.01500188  0.00128548 -0.0117374   0.00848768 -0.00409575 -0.00647481
  0.0094604  -0.0021433   0.00088547  0.00446354  0.00198084  0.00338175
 -0.00484955  0.00559382 -0.00473194 -0.00426918  0.00533064  0.00064476
 -0.00378226  0.0020946 ]",-4.87183354250766,0.007659308737043117
AME,0.4771186126056032,0.48601369464021554,[ 0.00080937  0.00071418 -0.00034858  0.002044   -0.00085539  0.00046792],"[ 1.48370407e-02 -2.86204408e-03 -5.90413903e-03  8.67369258e-03
 -4.73279576e-03 -1.60573074e-03  6.39731149e-03 -2.80774488e-03
  5.41119036e-04  5.71975863e-03 -3.08614462e-03  7.83640274e-04
  3.27887512e-04 -1.00476116e-03  2.26490279e-04  1.44302590e-03
  1.18647298e-03  1.07352425e-03  3.49588894e-06  2.53714778e-03]",-4.075058125474128,0.016991227025138625
AMGN,0.4799867044318932,0.4917010288814573,[ 0.00066538  0.00063683 -0.00027112  0.00126027 -0.00056007  0.00018215],"[ 0.01567952 -0.00507152 -0.00306869  0.01109784 -0.00857452  0.00055041
  0.00472106 -0.00676214  0.00317662  0.0043814  -0.00134009  0.00187574
  0.00027249  0.00186619 -0.00343486  0.00105102  0.00324718 -0.00135431
 -0.00101916  0.00669954]",-4.741746673088676,0.008723395949814975
AMP,0.4739902111062385,0.48445277279891313,"[ 8.71221168e-04 -5.24345297e-06  4.82904659e-05  7.78412729e-04
 -3.71175793e-04  7.95789943e-06]","[ 1.61676227e-02 -5.83398902e-03 -2.62141585e-03  1.23069128e-02
 -1.00039731e-02 -2.32763548e-05  6.56578113e-03 -7.35429364e-03
  2.37784818e-03  6.68434627e-03 -2.59598999e-03 -3.03861559e-05
  2.26110084e-03  1.99625884e-03 -4.48054284e-03  2.34336721e-03
  1.73121177e-03 -2.21237322e-03 -7.47947621e-04  2.83479972e-03]",-4.654597487943044,0.009517743477558648
AMT,0.47563849827573773,0.48614460961732325,"[ 1.07765051e-03 -2.14860379e-04  3.51459956e-04  3.28823149e-04
 -9.67618514e-05 -1.49385671e-05]","[ 0.01548413 -0.00052188 -0.00941488  0.01016162 -0.00731827 -0.00510456
  0.01017588 -0.00613321  0.00369776  0.00856427 -0.00389142  0.0032082
 -0.00063105  0.00037132 -0.00317845  0.00184683  0.0001331  -0.00284261
  0.00212205  0.0017554 ]",-4.685290055156769,0.009230056998292895
AMZN,1.3716825127943988,-0.4105698713064656,"[ 1.31949762e-03  7.50490924e-04  1.63295084e-04  4.99643046e-04
 -7.76127657e-05  8.92630111e-05]","[ 1.38112555e-02  2.71796888e-03 -1.24923748e-02  5.50640895e-03
 -4.06613486e-04 -5.39303411e-03  6.59903571e-03  8.69656845e-05
  8.79915945e-04  1.94563969e-03  1.91728045e-03  4.09113224e-03
 -3.73023971e-03  3.52224302e-03 -3.28537441e-03 -5.72839669e-04
  5.08586108e-04 -1.52922066e-03  1.84082114e-03  1.35014533e-04]",-5.021990358756242,0.006591394405081779
ANET,-1.167067929476144,2.116266199270727,"[ 4.66965979e-04 -5.80298259e-04  3.15776339e-04 -3.50468985e-05
  2.08222240e-05 -5.01296155e-05]","[ 0.01608227 -0.01060689  0.00412284  0.01196934 -0.00907773  0.00604967
  0.00095865 -0.00572557  0.00055157  0.00344006 -0.00258577 -0.00132868
  0.00204615 -0.00081846  0.00057634  0.00063678  0.00413587  0.00293367
 -0.00292539  0.00421675]",-4.56974073774774,0.010360645493724048
